Text,label
"The world is mired in $315 trillion of debt, according to a report from the
Institute of International Finance.

This global debt wave has been the biggest, fastest and most wide-ranging rise
in debt since World War II, coinciding with the Covid-19 pandemic.

“This increase marks the second consecutive quarterly rise and was primarily
driven by emerging markets, where debt surged to an unprecedented high of
over $105 trillion—$55 trillion more than a decade ago,” the IIF said in its
quarterly Global Debt Monitor report released in May.

Around two-thirds of the $315 trillion owed originates from mature
‘economies, with Japan and the United States contributing the most to that debt
pile.

However, the debt-to-GDP ratio for mature economies — which is seen asa

good indicator ofa country’s ability to service its debts —has been falling in
general.

(On the other hand, emerging markets held $105 trillion in debt, but their debt-
to-GDP ratio hit a new high of 257%, pushing the overall ratio up for the first

time in three years.
China, India and Mexico were the biggest contributors, the report noted.

The IIF identified stubborn inflation, rising trade friction and geopolitical
tensions as factors that could pose a significant risk to debt dynamics, “putting
upward pressure on global funding costs.”

“While the health of household balance sheets should provide a cushion
against ‘higher for longer rates’ in the near term, government budget deficits
are still higher than pre-pandemic levels,” the IIF added.

Oftthe $315 trillion debt stock, household debt, which includes mortgages,
credit cards and student debt, among others, amounted to $59.1 trillion.

Business debt, which corporations use to finance their operations and
growth, stood at $164.5 trillion, with the financial sector alone making up
$70.4 trillion of that amount. Public debt made up the rest at $91.4 trillion.
",0
"Initial filings for unemployment benefits have hit their highest level since late
August 2023, a potential sign that an otherwise robust labor market is
changing.

Jobless claims totaled a seasonally adjusted 231,000 for the week ending on
May 4, up 22,000 from the previous period and higher than the Dow Jones
estimate for 214,000, the Labor Department reported Thursday. Itwas the
highest claims number since Aug. 26, 2023.

The increase in claims follows a string of mostly strong hiring reports, though
hiring in April was light compared with expectations. Also, job openings have
been declining amid expectations that the labor markets likely to slow
through the year.

The report also showed that continuing claims, which run a week behind,
increased to 1.78 million, up 17,000 from the previous week. The four-week
‘moving average of claims, which helps smooth out weekly volatility in
‘numbers, increased to 215,000, up 4,750 from the previous week.

“Weekly jobless claims are one of the timeliest indicators of when the economy
is starting to undergo serious deterioration, and the magnitude of new layoffs
this week looks worrisome,” wrote Christopher Rupkey, chief economist at
FWDBONDS. “One week does nota trend make, but we can no longer be sure
that calm seas lie ahead for the US economy if today’s weekly jobless claims are
any indication.”

Nonfarm payrolls increased by 175,000 in April, below the Wall Street
estimate of 240,000 and the smallest gain since October 2023. However, the

‘unemployment rate was at 3.9%, continuing to hold below 496 since February
2022.

Markets reacted little to the jobless claims release, with stock market futures
slightly negative and Treasury yields mixed.

Excluding seasonal adjustments, claims totaled 209,324, up 10.4% from the
previous week. New York alone saw an increase of more than 10,000,
accounting for more than half the total rise.

“A low number of claims had become almost monotonous, and while this
surprising spike could well be. blip, we should expect more volatility anda
trend toward higher claims as the labor market normalizes,” said Robert Frick,
corporate economist at Navy Federal Credit Union.
",0
"Turkey’s inflation accelerated to 69.8% annually for the month of April, the
Turkish Statistical Institute reported Friday.

The highest consumer price increases year on year were in education, with a
103.86% jump, and hotels, cafes and restaurants, with an increase of 95.82%.

Ona monthly basis, Turkey’s inflation climbed 3.18%, led by price rises in
alcoholic beverages and tobacco, and hotels, cafes and restaurants.

April's inflation rate marks the highest annual increase since November 2022,
when inflation was around 85%.

While an eye-watering figure, April's nearly 70% CPI read was actually
smaller jump than many analysts had expected. But any hopes of interest rate
cuts are along way off, economists said.

Turkey’s central bank has hiked its key interest rate to 50%, citing the
continuing need to counter climbing inflation in the country. The bank said in
March that “tight monetary stance will be maintained until a significant and
sustained decline in the underlying trend of monthly inflation is observed.”

“The slightly smaller-than-expected rise in Turkish inflation in April to 69.8%
y/y (Consensus 70.3%) offers encouraging signs that price pressures have
softened again,” Liam Peach, senior emerging markets economist at London-
based Capital Economics, wrote in anote Friday.

“We think that inflation will fallin the second half ofthis year, butwe are not
quite as optimistic on the pace of disinflation. ... Against this backdrop, we still
don't expect the central bank to shift to cuts until next year.”
",0
"Private payrolls increased at a faster-than-expected pace in April, indicating
there are still plenty of tail winds for the U.S. labor market, according to ADP.

A separate report indicated that job openings continue on the decline, falling to

their lowest level since early 2021.

The payrolls processing firm reported Wednesday that companies added
192,000 workers for the month, better than the Dow Jones consensus outlook
for 183,000 though a slight step down from the upwardly revised 208,000 in
March.

At the same time, the firm’s wage measure showed worker pay up 5% froma
year ago, a multiyear low that provided some welcome news against multiple
other signs showing inflation has proved more resilient than many economists
and policymakers had expected.

“Hiring was broad-based in April,” ADP’s chief economist, Nela Richardson,
said. “Only the information sector - telecommunications, media, and
information technology - showed weakness, posting job losses and the smallest
pace of pay gains since August 2021.”

Job gains were strongestiin leisure and hospitality, which posted an increase of
56,000. Other industries showing gains included construction (35,000) and
sectors covering trade, transportation and utilities as well as education and

health services, both of which saw increases of 26,000.

Professional and business services contributed 22,000 to the total while
financial activities added 16,000.

‘Companies with 500 or more workers showed the biggest gain in hiring with
98,000.

Separately Wednesday, the Labor Department reported that job openings
declined again in March, falling to a seasonally adjusted 8.49 million, the
lowest level since February 2021.

The Jobs Openings and Labor Turnover Survey showed postings fell by more
than 1.1 million compared to a year ago, and were at 1.3 openings to available
workers. The openings rate as a share of the total labor force fell to 5.1%, a

   
",1
"‘The HCMC economy is likely to grow at 6% in the second quarter, down from 6.5496
in the first, the municipal Statistics Office has said.

‘The economy has not shown signs of a breakthrough this year, and the growth of
some sectors has slowed down, Nguyen Khac Hoang, director of the office, said at a
People’s Committee meeting on Friday.

Public spending has also slowed down in the second quarter. The State Treasury
Department reported that weekly disbursements never exceeded VND200 billion
(US$7.86 million) in April or May.

‘Nguyen Ngoc Hoa, chairman of the HCMC Business Association, said exporters have
enough orders for the second quarter, but face difficulties in meeting green
standards.

‘This could lead to a decline in orders towards year-end, he warned.

To boost economic growth, he suggested focusing on domestic consumption by
running promotions to spur consumer spending and solutions to foster wet markets.

Concurring, Bui Ta Hoang Vu, director of the city Department of Industry and Trade,
revealed a two-phase shopping stimulus program is planned for the next four to five
months.

‘Truong Minh Huy Vu, deputy director of the HCMC Institute of Development
Studies, said the city should boost digital transformation, green transition and labor
producti

 

Dr Tran Du Lich said Vietnam’s economy would remain sluggish the rest of this year
and possibly next year too.

He recommended improving the efficiency of government agencies to address.
businesses’ difficulties.

""Without breakthrough changes in operations, itis impossible to develop [the
economy’].""

Phan Van Mai, chairman of the city People's Committee, said public investment must
be accelerated.

""We need to focus on implementing key projects and administrative reforms.”
",0
" 

Europe’s macroeconomic outlook is brighter — but markets may be
underestimating the potential for sudden destabilization due to geopolitics, the
vice-president of the European Central Bank said Thursday.

“We are talking about the electoral cycle that is going to take place not only in
the U.S., but as well in Europe. And simultaneously, we are referring to
‘geopolitical risks. Ithink that, you know, markets sometimes are
underestimating the potential impact of geopolitical risks that are there,” Luis
de Guindos told CNBC’s Annette Weisbach.

‘Markets are good at calibrating financial and economic risks but struggle to
incorporate the separate dimension of geopolitical risk which is often viewed

asan all-or-nothing binary, he said.

Stock markets in Europe and the U.S. have soared to record highs this year,
brushing past the impact of ongoing wars in the Middle East and Ukraine and a
host of coming elections in which half the world’s adult population will head to
the polls.

The ECB on Thursday released its latest Financial Stability Report, which
stated that euro area financial stability has improved due to a better economic
outlook and falling inflation.

Rising geopolitical risks present “considerable downside risks,” the ECB
warned in the report. Risks remain “high” on ahistorical basis, it added, given
factors such as rising debt service costs, signs of banking profits peaking, and

the ongoing downturn in commercial real estate.

The report attributes the rally in financial markets to analyst expectations of
interest rate cuts from major central banks this year.

“Growing signs of pricing-for-perfection [are] creating the potential for

outsized market reactions to disappointments,” the report said.

De Guindos said the ECB did not factor in any concrete outcomes when it
comes to the results of the elections, but that overall they posed the possibility
of additional fragmentation in the global economy.
",1
"The BOE's interest rate decision was followed Friday by the latest U.K. gross
domestic product data, which showed that the country’s economy grew by

more than expected in the first quarter of 2024.

 

GDP increased by 0.6% compared with the 0.4% estimate, marking the first
quarter since the end of 2021 in with GDP growth exceeded 0.5%.

The economy thereby exited the technical recession it had entered after two

consecutive quarters of contraction in the second half of last year.

“This is undeniably a strong number and suggests the U.K. economy is shaking
off its woes from 2023,” Nomura analysts said in a note published Friday. This
could suggest that inflationary pressures are persistent and the economy is

more resilient to higher interest rates, they noted.

The BOE on Thursday warned that indicators of persistent inflation “remain
elevated,” but also said it was anticipating inflation to close in on the 2% target
in the near term.

“This [GDP] release further strengthens our view that the Bank of England will
need to keep policy restrictive for longer than markets are pricing to bear down
on inflation,” Nomura analysts said, adding they expected the central bank to

wait until August before cutting rates.
",1
"Tighter Credit Standards, High Interest Rates Causing
Downshift

Recently, banks have made it harder to get all kinds of credit, including credit
cards.

Loan officers have gotten increasingly worried about the direction of the
economy and that borrowers won't be able to pay loans back amid high interest
rates and a slowing job market. They've lowered the credit limits offered and
raised the credit scores required to get a new card, and generally made it harder
to qualify to borrow—in economics jargon, they've “tightened” credit.

Higher interest rates may also be playing a role. The Federal Reserve's
campaign of anti-inflation interest rate hikes has driven the average interest
rate for a credit card up to 21.59% as of February, its highest since the Fed
began keeping track of rates in 1994, making credit card balances weigh heavier
on household budgets. |

“Growth in the stock of consumer credit is firmly on a downward trend as
higher interest rates and tighter lending standards crimp borrowing,” Shandor
Whitcher, an economist at Moody’s Analytics, wrote in a commentary. “These
factors are expected to hold growth to roughly this pace into 2025.""!4]
",0
"Gaming platform Steam blocked in
Vietnam for refusal to cooperate with
authorities

Luv uy

An error message is displayed on a smar
in Vietnam. Photo by Vn ju Quy

 

 

Some services of game distributing platform Steam are now blocked in Vietnam.
because after its developer failed to cooperate with authorities, a senior government
official has told VnExpress.

All games distributed in Vietnam need to have licenses, Le Quang Tu Do, director of,
the authority of broadcasting, television and electronic information under the
Ministry of Information and Communications, said.

 

""Most platforms cooperate with authorities and comy
agency has contacted Steam many times but the platform never responded, and
therefore it was blocked.”

 

with local laws, However, our

 

‘Vietnamese users have had trouble accessing Steam store since early May. An error
message is displayed when users try to browse its store and to pay for its servic:

 

 

rs can still play the games that they have downloaded. Steam is operated by game
developer Valve Corporation and was launched in 2003. It now offers over 100,000
games,

GameLoop, which provides an emulator for smartphone games on the computer,
have also been blocked in Vietnam.

The game Roblox, which is popular among teenagers, is also required to have permits
and, its developer has partnered with a local company to distribute it in Vietnam.

Netflix has removed most of its games in Vietnam.
",0
"VN-Index declines

By Dat Nguyen May 30, 2024 | 05:00 pm GMT+7

 

An investor looks at stock prices on a smartphone at a brokerage in Ho Chi Minh
City. Photo by VnExpress/Quynh Tran

Vietnam's benchmark VN-Index fell 0.50% to 1,266.32 points Thursday.

The index closed 6.32 points lower after dropping 9.09 points in the previous

session.

Trading on the Ho Chi Minh Stock Exchange increased by 2% to VND25.85
trillion ($1.02 billion).

      
 

 

VN-Index
1350
1300
1250
a 1200
2 Friday, Dee 8, 2023
2 # Value: 1124.44
1150
100
1050
+1000
sep '23 Nov'23 van'24 Mar'24 May'24
© Value

The VN-30 basket, comprising the 30 largest capped stocks, saw 22 tickers
fell.

VIC of private conglomerate Vingroup dropped 2.8%, followed by VRE of
retail real estate arm Vincom Retail with a 2.5% decline.

MBB of lender MB lost 2%.

Eight blue chips gained. The top gainers included MWG of electronics retail
chain Mobile World, up 3.8% and GVR of Vietnam Rubber Group, up 3.2%.

Foreign investors were net seller to the tune of VND1.35 trillion, mainly
selling FPT of IT giant FPT Corporation and MBB of lender MB.

The HNX-Index for stocks on the Hanoi Stock Exchange, home to mid and
small caps, fell 0.06%, while the UPCoM-Index for the Unlisted Public
Companies Market went down 0.13%.
",0
"Stocks decline with most blue chips in
red

By Minh Hiew Way 29, 2024 | 08:17 pm GMiT+7

 

‘An investor looks at stock prices on a smartphone at a brokerage in Ho Chi Minh City.
Photo by VnExpress/Quynh Tran

‘Vietnam's benchmark VN-Index fell 0.71%6 to 1,272.64 points Wednesday.
The index closed 9.09 points lower after gaining 14.05 points in the previous session.

Trading on the Ho Chi Minh Stock Exchange increased by 15% to VND25.430 trillion
(US$998.9 million).

VN-Index
1380
1300
1250
9 1200
z
180
1100
1050
1000
Sep 22 Now'23 an 24 Mar'24 May'24
© Value

The VN-30 basket, comprising the 30 largest capped stocks, saw 27 tickers fell.

BVH of insurance company Bao Viet Holdings lost 3.0%, HDB of lender HDBank went
down 2.9%, STB of private lender Sacombank closed 2.1% lower.

Only two blue chips gained, which were POW of electricity producer Petrovietnam
Power Corporation with a 0.8% growth and GAS of state-owned Petrovietnam Gas, up
0.4%.

Foreign investors were net seller to the tune of VND1657 billion, mainly selling CTG of
state-owned lender VietinBank and HPG of steel giant Hoa Phat Group.

The HNX-Index for stocks on the Hanoi Stock Exchange, home to mid and small caps,
fell 0.58%, while the UPCoM-Index for the Unlisted Public Companies Market went up
0.27%.
",0
"Stocks close third session in red

By Minh Hiew May 31

 

04:18 pm GMT+7

 

An investor looks at stock prices on the screens at a brokerage in Ho Chi Minh
City. Photo by VnExpress/Quynh Tran

Vietnam's benchmark VN-Index fell 0.36% to 1,261.72 points Friday for the
third consecutive session.

The index closed 4.60 points lower after dropping 6.32 points in the previous

session.

Trading on the Ho Chi Minh Stock Exchange decreased by 28% to VND18.740
trillion (US$736.3 million).

VN-Index
1350
1300
1250
1200
© 150
100
1050
+1000
Sep'23 Now'23 Jan 24 Mar'24 May 24
© Value

The VN-g0 basket, comprising the 30 largest capped stocks, saw 18 tickers
fell.

GYR of Vietnam Rubber Group lost 2.4%, SAB of brewer Sabeco dropped

1.7% and VCB of state-owned lender Vietcombank closed 1.6% lower.

Nine blue chips gained. MWG of electronics retail chain Mobile Worldup went
up 1.3%, followed by HPG of steelmaker Hoa Phat Group with a 1.2% growth

and VIC of private conglomerate Vingroup, up 0.9%.

Foreign investors were net seller to the tune of VND1.4 trillion, mainly selling
VHM of property giant Vinhomes and VCB of Vietcombank.

The HNX-Index for stocks on the Hanoi Stock Exchange, home to mid and
small caps, fell 0.38%, while the UPCoM-Index for the Unlisted Public

Companies Market went up 0.07%.
",0
"Imported Thai fruit prices plummet
on rising supply

8yHong Chau = | 06:19 a

 

Mangosteen, mini durian, snake fruit, and rambutan imported from Thailand are 30-
40% cheaper than a year ago since supply is high.

Loan, who runs a shop that sells imported fruits in HCMC, said Thai fruits have never
been as cheap as they are this year.

Mangosteen and langsat are sold at VND55,000-60,000 (USS2.16-2.36) per
Kilogram, and rambutan at VND45,000-60,000, all 30-40% less than a year ago, she
said.

  
  

Thai mangosteer le at a market in HCMC. Photo by VnExpress/Hong Chau.

 

Lan, a fruit merchant at the city’s Ba Chieu Market, said the prices of premium
products such as Thai snake fruit and mini durian are also down 40%.

Snake fruit sells for VND60,000-70,000 and mini durian for VND60,000-130,000,
she said.

“This year Thai fruits outcompete Vietnamese ones in both quality and price.”

At wholesale markets in HCMC’s Thu Due City and Hoc Mon District, many kinds of
Thai fruits are being sold in large quantities.

Thai snake fruits sold at st year's prices at a wet market. Photo by
Vnexpress/Hong Chau

   

Thanh, an importer in An Giang Province, said the supply of Thai fruits has doubled
from last year due to bountiful harvests, causing their prices to fall sharply.

‘The mangosteen, langsat and rambutan from that country are of higher quality this
year, while Vietnamese crops have suffered from a poor harvest, he said.

This year mangosteen production in Binh Duong Province, one of the main growers,
is estimated to have halved from a year ago, according to local farmers.

Durian production in the Mekong Delta has declined by 20-40% due to prolonged dry
weather and scorching temperatures.

Farmers have also been shifting away from rambutan in recent years due to its low
profitability.

This year, shipping costs have decreased by 20-30% from last year, Thanh said. Many
importers have begun to transport fruits from Thailand by road through Cambodia to
lower costs, he added.

In the first four months of 2024 Vietnam imported $643 million worth of fruits and
vegetables, up 15% year-on-year.

Thailand accounted for $13.3 million, marking a 5% increase from the same period
last year.
",0
"Vietnam inflation approaches
government limit in May

By Reuters May 29, 2024 05:31 pm GMT+7

 

‘Consumers shopping at a supermarket in HCMC. Photo by VnExpress/Quynh Tran

‘Vietnam's annual inflation rate edged up to 4.449% in May, nearing the government's
target ceiling of 4.5% for the year and a potential challenge to efforts to boost credit
growth to drive activity.

The Southeast Asian country, a regional industrial hub, also reported strong growth in
exports and industrial output in the month, but rising inflation could be a concern for
authorities, official data showed on Wednesday.

Consumer prices had risen 4.4% in April from a year earlier, and rose 3.25% in 2023.

‘Vietnam is targeting economic growth of 6.0%-6.5% this year, faster than an expansion
of 5.05% last year.

The central bank, the State Bank of Vietnam, is aiming for credit growth of 15% to help
meet the growth goal, but banks have struggled to increase their lending this year.

Banks’ total outstanding loans as of May 10 had risen 1.95% from the end of last year,
state media cited the central bank as saying on Tuesday.

Oxford Economics said on Wednesday it expected exports to continue to grow solidly,
but the boost to GDP would likely be limited.

 

‘Interest rates in Vietnam's largest importer, the U.S., are likely to stay higher for
longer and the overall global external outlook is soft,” Oxford Economics said.

""We expect 2024 GDP growth to miss the 6.0-6.5% target,” it added.

Other data released by the General Statistics Office (GSO) on Wednesday showed
exports are estimated to have risen 15.8% in May from a year earlier to $32.81 billion,
led by shipments of electronics and smartphones.

Imports in the month are estimated to have grown an annual 29.9% to $33.81 billion,
resulting in a trade deficit of $1 billion for May, the GSO said.

Shipments of smartphones in May are estimated to have risen 50.6% from a year
earlier to $4.4 billion, while electronics exports rose 31.5% to $5.9 billion.

Industrial output in the month rose an annual 8.9% and retail sales were up 9.5%, the
GSO said.

Oxford Economics said it expected the central bank to keep its discount rate
unchanged at 3% for the rest of the year, but added that ""the key risk to the policy rate
lies with the Vietnamese dong, which has depreciated against the U.S. dollar by an
estimated 4.4% year-to-date"".
",0
